n_mfcc;delta_mode;norm_mode;n_components;covariance_type;n_mels;accuracy
2;1;2;10;diag;20;0,1
2;1;2;12;full;2;0,1
2;1;2;12;full;4;0,1
2;1;2;12;full;6;0,1
2;1;2;12;full;8;0,1
2;1;2;12;full;10;0,1
2;1;2;12;full;12;0,1
2;1;2;12;full;14;0,1
2;1;2;12;full;16;0,1
2;1;2;12;full;18;0,1
2;1;2;12;full;20;0,1
2;1;2;12;diag;2;0,1
2;1;2;12;diag;4;0,1
2;1;2;12;diag;6;0,1
2;1;2;12;diag;8;0,1
2;1;2;12;diag;10;0,1
2;1;2;12;diag;12;0,1
2;1;2;12;diag;14;0,1
2;1;2;12;diag;16;0,1
2;1;2;12;diag;18;0,1
2;1;2;12;diag;20;0,1
2;1;2;14;full;2;0,1
2;1;2;14;full;4;0,1
2;1;2;14;full;6;0,1
2;1;2;14;full;8;0,1
2;1;2;14;full;10;0,1
2;1;2;14;full;12;0,1
2;1;2;14;full;14;0,1
2;1;2;14;full;16;0,1
2;1;2;14;full;18;0,1
2;1;2;14;full;20;0,1
2;1;2;14;diag;2;0,1
2;1;2;14;diag;4;0,1
2;1;2;14;diag;6;0,1
2;1;2;14;diag;8;0,1
2;1;2;14;diag;10;0,1
2;1;2;14;diag;12;0,1
2;1;2;14;diag;14;0,1
2;1;2;14;diag;16;0,1
2;1;2;14;diag;18;0,1
2;1;2;14;diag;20;0,1
2;1;2;16;full;2;0,1
2;1;2;16;full;4;0,1
2;1;2;16;full;6;0,1
2;1;2;16;full;8;0,1
2;1;2;16;full;10;0,1
2;1;2;16;full;12;0,1
2;1;2;16;full;14;0,1
2;1;2;16;full;16;0,1
2;1;2;16;full;18;0,1
2;1;2;16;full;20;0,1
2;1;2;16;diag;2;0,1
2;1;2;16;diag;4;0,1
2;1;2;16;diag;6;0,1
2;1;2;16;diag;8;0,1
2;1;2;16;diag;10;0,1
2;1;2;16;diag;12;0,1
2;1;2;16;diag;14;0,1
2;1;2;16;diag;16;0,1
2;1;2;16;diag;18;0,1
2;1;2;16;diag;20;0,1
2;1;2;18;full;2;0,1
2;1;2;18;full;4;0,1
2;1;2;18;full;6;0,1
2;1;2;18;full;8;0,1
2;1;2;18;full;10;0,1
2;1;2;18;full;12;0,1
2;1;2;18;full;14;0,1
2;1;2;18;full;16;0,1
2;1;2;18;full;18;0,1
2;1;2;18;full;20;0,1
2;1;2;18;diag;2;0,1
2;1;2;18;diag;4;0,1
2;1;2;18;diag;6;0,1
2;1;2;18;diag;8;0,1
2;1;2;18;diag;10;0,1
2;1;2;18;diag;12;0,1
2;1;2;18;diag;14;0,1
2;1;2;18;diag;16;0,1
2;1;2;18;diag;18;0,1
2;1;2;18;diag;20;0,1
2;1;2;20;full;2;0,1
2;1;2;20;full;4;0,1
2;1;2;20;full;6;0,1
2;1;2;20;full;8;0,1
2;1;2;20;full;10;0,1
2;1;2;20;full;12;0,1
2;1;2;20;full;14;0,1
2;1;2;20;full;16;0,1
2;1;2;20;full;18;0,1
2;1;2;20;full;20;0,1
2;1;2;20;diag;2;0,1
2;1;2;20;diag;4;0,1
2;1;2;20;diag;6;0,1
2;1;2;20;diag;8;0,1
2;1;2;20;diag;10;0,1
